iter	Passed	Remaining
0	1	152
1	2	139
2	4	131
3	5	121
4	6	120
5	7	120
6	8	118
7	10	117
8	11	116
9	12	115
10	14	113
11	15	112
12	16	110
13	17	109
14	19	108
15	20	106
16	21	105
17	22	103
18	23	102
19	25	101
20	26	100
21	27	99
22	29	97
23	30	96
24	31	94
25	32	93
26	34	92
27	35	90
28	36	89
29	37	88
30	39	87
31	40	85
32	41	84
33	42	83
34	44	82
35	45	80
36	46	79
37	47	78
38	49	76
39	50	75
40	51	74
41	52	72
42	54	71
43	55	70
44	57	70
45	59	69
46	60	68
47	62	67
48	64	67
49	66	66
50	68	66
51	70	65
52	72	64
53	73	62
54	74	61
55	75	59
56	77	58
57	78	56
58	79	55
59	80	53
60	82	52
61	83	51
62	84	49
63	86	48
64	87	47
65	88	45
66	89	44
67	91	42
68	92	41
69	93	40
70	94	38
71	96	37
72	97	36
73	98	34
74	100	33
75	101	32
76	102	30
77	103	29
78	104	27
79	106	26
80	107	25
81	108	23
82	109	22
83	111	21
84	112	19
85	113	18
86	114	17
87	116	15
88	117	14
89	118	13
90	119	11
91	120	10
92	122	9
93	123	7
94	126	6
95	127	5
96	128	3
97	129	2
98	131	1
99	132	0
