iter	Passed	Remaining
0	139	139831
1	148	73916
2	152	50524
3	157	39245
4	161	32163
5	165	27425
6	173	24557
7	175	21768
8	177	19589
9	180	17846
10	184	16549
11	187	15421
12	189	14402
13	192	13546
14	195	12813
15	199	12243
16	200	11589
17	201	11001
18	202	10478
19	204	10008
20	205	9583
21	206	9194
22	208	8843
23	209	8522
24	212	8293
25	213	8015
26	215	7757
27	216	7516
28	217	7293
29	219	7085
30	220	6890
31	221	6700
32	222	6525
33	223	6356
34	226	6249
35	227	6098
36	228	5953
37	229	5817
38	230	5688
39	231	5565
40	232	5447
41	233	5336
42	234	5230
43	236	5129
44	237	5032
45	238	4952
46	240	4871
47	241	4786
48	242	4705
49	243	4626
50	244	4549
51	245	4476
52	246	4405
53	247	4337
54	248	4272
55	249	4209
56	250	4147
57	251	4088
58	254	4055
59	255	3999
60	256	3944
61	257	3892
62	258	3841
63	259	3792
64	260	3744
65	261	3700
66	262	3656
67	263	3613
68	264	3570
69	265	3528
70	267	3498
71	269	3475
72	270	3438
73	271	3400
74	272	3366
75	274	3334
76	275	3300
77	276	3266
78	277	3233
79	278	3201
80	279	3169
81	280	3139
82	280	3104
83	283	3096
84	285	3068
85	286	3040
86	287	3013
87	288	2985
88	289	2960
89	290	2934
90	291	2909
91	292	2885
92	293	2861
93	294	2837
94	295	2814
95	298	2806
96	299	2784
97	300	2762
98	301	2740
99	302	2719
100	303	2698
101	304	2678
102	305	2658
103	306	2638
104	307	2619
105	308	2600
106	309	2581
107	310	2562
108	313	2560
109	314	2542
110	315	2525
111	316	2508
112	317	2492
113	318	2476
114	319	2459
115	320	2443
116	321	2425
117	322	2410
118	323	2395
119	324	2379
120	326	2370
121	327	2357
122	328	2343
123	329	2328
124	330	2314
125	331	2301
126	332	2286
127	333	2273
128	334	2260
129	335	2246
130	336	2233
131	337	2220
132	338	2208
133	340	2199
134	342	2192
135	343	2180
136	344	2169
137	345	2158
138	346	2146
139	347	2135
140	348	2124
141	349	2110
142	350	2099
143	351	2089
144	352	2078
145	353	2067
146	356	2067
147	357	2058
148	358	2050
149	360	2040
150	361	2030
151	362	2020
152	363	2011
153	364	2001
154	365	1992
155	366	1984
156	367	1975
